tag,count,J_mean,ER_mean
kitchen-closeup,2,0.038705042779362195,0.12424561403508771
warm-minimal,3,0.03805469875130385,0.1183859649122807
desk-setup,1,0.03675401069518717,0.10666666666666667
clean-bg,4,0.03663886897416309,0.11077472527472527
text-minimal,2,0.03461291823723765,0.11093792172739542
close-up,2,0.03446826304892667,0.10640786749482402
warm-light,3,0.0344317864035606,0.10474130036630036
day-in-life,2,0.03172949576782067,0.10177989130434782
soft-light,2,0.03172949576782067,0.10177989130434782
